,clean_word,weight
708,berat tulang,-4.0
709,berbecakbecak,-3.0
710,berbelitbelit,-4.0
711,berbondongbondong,-3.0
712,bercak,-5.0
713,bercakarcakaran,-4.0
714,berceraiberai,-5.0
715,bercikuncikun,-5.0
716,bercumbucumbu,-3.0
717,berdikitdikit,-3.0
718,berduyunduyun,-3.0
719,beredak,-5.0
720,berengsek,-5.0
721,bergajul,-5.0
722,bergas,5.0
723,berhala,-4.0
724,berhandaihandai,-3.0
725,berhatihati,3.0
726,beri,2.0
727,beri uang,-2.0
728,beril,4.0
729,beringas,-4.0
730,berita,-4.0
731,berjagajaga,1.0
732,berjejaljejal,-3.0
733,berjenisjenis,3.0
734,berjubal,-3.0
735,berkah,4.0
736,berkasihkasihan,-3.0
737,berkat,1.0
738,berkelokkelok,-2.0
739,berkelompokkelompok,-4.0
740,berkemaskemas,-2.0
741,berkepingkeping,-5.0
742,berkeraskerasan,-4.0
743,berketarketar,-3.0
744,berkobarkobar,4.0
745,berlamalama,-2.0
746,berlaralara,-4.0
747,berlaratlarat,-4.0
748,berlebihlebih,-4.0
749,berlibatlibat,-4.0
750,berlikuliku,-4.0
751,bermacammacam,3.0
752,bermainmain,-2.0
753,bernas,2.0
754,berogakogak,-4.0
755,berolokolok,-4.0
756,berpadapada,-3.0
757,berpalitpalit,-4.0
758,berperaiperai,-5.0
759,berpuakpuak,-4.0
760,berpurapura,-4.0
761,berputarputar,-4.0
762,bersesaksesak,-3.0
763,bersih,-4.5
764,bersikukuh,1.0
765,bersitegang,4.0
766,bersiteguh,1.0
767,bersukasuka,-3.0
768,bersukasukaan,-3.0
769,bersungguhsungguh,4.0
770,bertalatala,-3.0
771,bertaluntalun,-3.0
772,bertanyatanya,4.0
773,berteletele,-3.0
774,bertimpatimpa,-3.0
775,berus,-4.0
776,besar,2.0
777,besar akal,4.0
778,besar hati,3.0
779,besar lengan,3.0
780,besar perut,-3.0
781,besar rabu,-3.0
782,besarbesaran,3.0
783,beset,-4.0
784,besi tua,-4.0
785,besit,-2.0
786,beslah,-4.0
787,besot,-3.0
788,bestari,4.0
789,beta,-3.0
790,betapa,4.0
791,betas,-3.0
792,bete,-5.0
793,betina,-2.0
794,beton,-2.0
795,better,2.0
796,betul,3.0
797,betung,-3.0
798,beud,-2.0
799,bhay,-3.0
800,biadab,3.0
801,biak,-3.0
802,biang keladi,3.0
803,bianglala,4.0
804,biar,-2.0
805,biarawati,-3.0
806,biarin,-3.0
807,biarpun,-3.0
808,bias,-2.0
809,biasa,2.5
810,biasin,-3.0
811,bicara,-3.0
812,bicu,-3.0
813,bidah,-3.0
814,bidai,-4.0
815,bidas,-2.0
816,bidik,-2.0
817,biduanda,5.0
818,bijak,3.0
819,bijaksana,1.0
820,biji buah,-3.0
821,biji mata,-3.0
822,bijih,3.0
823,bikin,3.0
824,biksah,-5.0
825,bilas,1.0
826,bilhak,3.0
827,bilik,-3.0
828,bimbang,-4.5
829,bimbing,0.0
830,bimbit,3.0
831,binasa,-2.0
832,bincang,2.0
833,bineka,3.0
834,binen,3.0
835,bingit,-5.0
836,bingkas,3.0
837,bingkis,4.0
838,bingung,-3.0
839,bini gelap,-5.0
840,bir,-5.0
841,birah,-3.0
842,birokrat,-3.0
843,birthday,4.0
844,bisain,-2.0
