,clean_word,weight
1199,konfirmasi,3.0
4847,konfirmasi,-4.0
1207,konspirasi,4.0
4856,konspirasi,-4.0
1218,korek,4.0
4869,korek,-4.0
1230,kuat,3.2
4892,kuat,-3.0
1233,kubra,2.0
4894,kubra,-3.0
1236,kucur,4.0
4897,kucur,-3.0
4899,kukuh,-3.0
1239,kukuh,2.0
1240,kuliah,1.0
4903,kuliah,-4.0
4906,kumpul,-3.0
1243,kumpul,3.0
1246,kunjung,3.0
4911,kunjung,-4.0
1248,kunyah,3.0
4913,kunyah,-4.0
4961,lalu,-4.5
1265,lalu,3.0
1284,lantik,3.0
4989,lantik,-3.0
4990,lanyak,-3.0
1287,lanyak,4.0
4996,lapor,-5.0
1290,lapor,2.0
5003,lari,-3.5
1292,lari,3.0
5009,latih,-2.0
1294,latih,3.3333333333333335
5013,lawan,-4.0
1297,lawan,1.0
1303,lebih,1.0
5023,lebih,-3.0
1307,lebur,3.0
5025,lebur,-4.0
5027,leceh,-5.0
1308,leceh,4.0
1314,lelah,4.0
5040,lelah,-3.0
1316,lelap,4.0
5041,lelap,-3.0
1317,leleh,1.0
5042,leleh,-3.0
1318,lemah,5.0
5047,lemah,-3.5
1323,lendeh,3.0
5060,lendeh,-3.0
5066,lengkap,-3.0
1325,lengkap,2.0
5074,lepas,-3.5714285714285716
1327,lepas,3.0
1328,lepek,3.0
5075,lepek,-4.0
1329,lesap,3.0
5079,lesap,-3.0
1332,letih,4.0
5083,letih,-3.0
1337,libat,3.0
5094,libat,-3.0
5099,lihat,-3.0
1341,lihat,3.0
5101,lilit,-3.0
1343,lilit,3.0
5109,lintang,-4.0
1352,lintang,3.0
5111,lintas,-4.0
1353,lintas,3.0
5116,liput,-3.0
1357,liput,3.0
5125,lolos,-4.0
1360,lolos,3.0
5131,lontar,-3.0
1364,lontar,3.0
5145,lucu,-2.0
1374,lucu,3.0
5162,lupa,-3.0
1387,lupa,1.0
5165,luruh,-3.0
1389,luruh,2.0
1392,maaf,3.5
5171,maaf,-3.0
1403,main,2.0
5188,main,-3.0
5196,makan,-3.0
1406,makan,1.6666666666666667
5202,makmur,-3.0
1413,makmur,4.0
5204,maksud,-1.0
1417,maksud,3.0
1420,malu,2.5
5216,malu,-3.0
1432,manja,5.0
5238,manja,-3.0
1434,mantap,4.333333333333333
5241,mantap,-3.0
1441,masak,2.0
5252,masak,-3.0
5256,masygul,-3.0
1447,masygul,3.0
5261,mati,-5.0
1452,mati,4.0
5264,mau,-2.0
1453,mau,5.0
5282,memang,-2.5
1461,memang,4.0
5289,menang,-5.0
1464,menang,3.6666666666666665
1465,mending,2.0
5298,mending,-3.0
1486,mesra,4.0
5341,mesra,-3.0
5372,moral,-4.0
1517,moral,4.0
1520,motivasi,3.0
5376,motivasi,-4.0
1524,mudah,2.75
5384,mudah,-3.0
1532,muka,5.0
5388,muka,-3.0
1538,mula,3.0
5389,mula,-3.5
1548,murah,3.5
5408,murah,-4.0
5458,neng,-1.0
1583,neng,5.0
1584,nestapa,1.0
5460,nestapa,-3.0
5499,nikmat,-3.0
1598,nikmat,3.3333333333333335
1600,nilai,5.0
5500,nilai,-4.0
